#,0,离,右,少侠..少侠，醒醒！,1
#,1,李舒,左,谁在叫我,2
&,2,李舒,左,嗯？？这是什么东西,4
&,3,李舒,左,我这是在做梦吧...,4
#,4,离,右,我是虫离吻，你可以叫我离（注#虫离吻，龙生九子第九子，寓意勇气和力量）,5
#,5,离,右,少侠...告诉你个事情你可千万别生气,6
#,6,离,右,出了一些小意外，我不小心把你带到这个世界来了,7
&,7,李舒,左,什么叫这个世界？,9
&,8,李舒,左,我不是在上数学课吗，真是睡昏了...,10
#,9,离,右,简单来说，有点像所谓的“穿越”,11
#,10,离,右,这个世界还真和数学有关，所以说是机缘巧合嘛...机缘巧合,11
#,11,离,右,哎既来之则安之嘛，我先给你介绍一下这个世界吧,12
&,12,李舒,左,好吧,14
&,13,李舒,左,（答应他）,14
#,14,离,右,这个世界建立在“幻方”之上，你们也叫做数独,15
#,15,离,右,人们依靠填写幻方来吸收灵气，提升实力,16
#,16,李舒,左,原来我是进入了数学修仙世界,17
#,17,离,右,你可以这么理解,18
#,18,离,右,要想离开这里，你需要去南山找到这个世界的宝物——遗珠,19
#,19,李舒,左,遗珠？,20
#,20,离,右,一件汇聚这个世界力量的宝物，我便依靠它寻找有缘人，来修补这个世界遗失的数学力量,21
#,21,离,右,（叹气）这个世界的力量愈发薄弱，少侠你想回去还得尽早才行,22
#,22,李舒,左,明明是你把我弄过来的吧！,23
#,23,离,右,不拘小节嘛...想回去也只有一条路可以走了,24
#,24,离,右,不过此路漫漫，我还是先教会你在这个世界的立足之道吧,25
#,25,李舒,左,不就是填数独吗，这有什么好教的,26
#,26,离,右,觉得简单？先来试试手再说！,27
END,27,,,,
